Case Nbr,Location,Date and Time Reported,Date and Time of Occurrence,Synopsis,Disposition,Crime
210719,Akron Avenue,09/08/2021 1558 hours,Between09/08/2021 110009/08/2021 1130,"An officer documented damaged property, which occurred in the 1000 block of Akron Avenue. A university laptop was damaged.",Incident Report - Case Closed,General Damaged Property
210718,Horn Res. Hall,09/08/2021 1324 hours,Between09/03/2021 140009/07/2021 1900,"An officer investigated theft, which occurred at the northeast bicycle racks at Horn Residence Hall. A secured bicycle and lock were stolen.",Open Inactive,Bike theft
210717,C1 North Parking Lot,09/08/2021 0053 hours,09/08/2021 0053 hours,"An officer released  a student, pending the filing of charges, for possession of a controlled substance (THC Oil), which occurred in the C1 north parking lot, following a traffic stop.",Cleared By Case Presentment,Possession of drug paraphernalia
210716,Z5C Parking Lot,09/07/2021 2101 hours,Between09/07/2021 192509/07/2021 2011,"An officer investigated duty on striking an unattended vehicle, which occurred in the Z5-C parking lot.",Open Inactive,Striking of unattended vehicle
210715,Gordon Res. Hall,09/07/2021 1612 hours,Between09/03/2021 140009/06/2021 1900,"An officer investigated theft, which occurred at the north bicycle racks at Gordon Residence Hall. A secured bicycle and cable lock were stolen.",Open Inactive,Bike theft
210714,Science - Physics & Geosciences,09/07/2021 1243 hours,Between09/01/2021 120009/07/2021 0830,"An officer documented information in reference to damaged property, which occurred at the Science Building. A window was broken.",Incident Report - Case Closed,General Damaged Property
210713,Sneed Res. Hall,09/07/2021 0134 hours,09/07/2021 0134 hours,"An officer arrested  a non-student for possession of drug paraphernalia and theft, which occurred in the 1700 block of Avenue R, following the theft of a bicycle  from the southwest bicycle racks at Sneed Residence Hall. The non-student was issued a criminal trespass warning for all Texas Tech property and transported to the Lubbock County Jail.",Cleared By Arrest,Bike theft
210712,Murray Res. Hall,09/06/2021 2117 hours,09/06/2021 2117 hours,"An officer documented information in reference to a disturbance between roommates, which occurred at Murdough Residence Hall.",Incident Report - Case Closed,UNDEFINED
210711,Honors Res. Hall,09/06/2021 1820 hours,Between09/02/2021 200009/03/2021 2000,"An officer investigated theft, which occurred at the west bicycle racks at Honors Residence Hall. A secured bicycle and cable lock were stolen.",Open Active,Bike theft
210710,Z2D Parking Lot,09/05/2021 1833 hours,09/05/2021 1833 hours,"An officer arrested  a non-student for possession of a controlled substance (Methamphetamine) and possession of drug paraphernalia, which occurred in the Z2-D parking lot. The non-student was issued a criminal trespass warning for all Texas Tech property and transported to the Lubbock County Jail.",Cleared By Arrest,Possession of drug paraphernalia
210709,C11 Parking Lot,09/05/2021 1658 hours,09/05/2021 1724 hours,"An officer investigated duty on striking an unattended vehicle, which occurred in the C-11 parking lot.",Open Inactive,Striking of unattended vehicle
210708,Honors Res. Hall,09/05/2021 1411 hours,Between09/02/2021 103009/02/2021 1630,"An officer investigated theft, which occurred at the southwest bicycle racks at Honors Residence Hall. A secured bicycle and lock were stolen.",Open Inactive,Bike theft
210707,4th Street,09/05/2021 0103 hours,09/05/2021 0103 hours,"An officer documented information in reference to assisting another agency, which occurred in the 2500 block of Marsha Sharp Service Road. An officer assisted in detaining and arresting a suspect who was resisting arrest from a Lubbock Police Officer, following a traffic crash investigation.",Incident Report - Case Closed,UNDEFINED
210706,Honors Res. Hall,09/04/2021 1303 hours,Between09/02/2021 180009/03/2021 0930,"An officer investigated theft, which occurred at the bicycle racks at Honors Residence Hall. A secured bicycle and lock were stolen.",Open Inactive,Bike theft
210705,Honors Res. Hall,09/04/2021 0951 hours,Between09/03/2021 130009/03/2021 2100,"An officer investigated theft, which occurred at the bicycle racks at Honors Residence Hall. A secured bicycle and lock were stolen.",Open Inactive,Bike theft
210704,Memorial Circle,09/04/2021 0718 hours,09/04/2021 0718 hours,"An officer placed a  non-student under emergency detention, which occurred at Memorial Circle. The non-student was also issued a criminal trespass warning for all Texas Tech property. The non-student was transported to Covenant Medical Center for treatment.",Incident Report - Case Closed,Emergency detention
210703,Honors Res. Hall,09/03/2021 2259 hours,Between09/02/2021 200009/03/2021 0830,"An officer investigated theft, which occurred at the southeast bicycle racks at Honors Residence Hall. A secured bicycle was stolen.",Open Inactive,Bike theft
210702,Off Campus,09/03/2021 1804 hours,09/03/2021 1750 hours,"An officer investigated a traffic accident, without injuries, involving a University vehicle, which occurred at an off campus location.",Incident Report - Case Closed,Vehicle accident
210701,Honors Res. Hall,09/03/2021 1502 hours,Between09/02/2021 120009/03/2021 0850,"An officer investigated theft, which occurred at the northeast bicycle rack at Honors Residence Hall. A secured bicycle and cable lock were stolen.",Open Inactive,Bike theft
210700,Student Union Building,09/03/2021 1339 hours,Between09/03/2021 133309/03/2021 1339,"An officer investigated theft, which occurred at the Student Union Building. A student's fraternity paddle was stolen.",Open Inactive,General theft
210699,Student Union Building,09/03/2021 1250 hours,09/03/2021 1250 hours,"An officer arrested  a non-student for theft, which occurred at the Student Union Building. A  bicycle was stolen and recovered. The non-student was issued a criminal  trespass warning for all Texas Tech property and transported to the Lubbock County Jail.",Cleared By Arrest,Bike theft
210698,Holden Hall,09/03/2021 0919 hours,09/03/2021 0919 hours,"An officer issued a non-student a criminal trespass warning for all Texas Tech property, which occurred at Holden Hall.",Incident Report - Case Closed,Criminal trespass
210697,Honors Res. Hall,09/03/2021 0106 hours,09/03/2021 0106 hours,"An officer documented information in reference to a disturbance, which occurred at Honors Residence Hall. Two groups of individuals had a verbal argument.",Incident Report - Case Closed,UNDEFINED
210696,Mathematics & Statistics,09/02/2021 2011 hours,Between09/02/2021 140009/02/2021 1520,"An officer investigated theft, which occurred at the Mathematics and Statistics Building. A secured bicycle and lock were stolen.",Open Active,Bike theft
210695,Sneed Res. Hall,09/02/2021 1959 hours,Between08/31/2021 180009/01/2021 1100,"An officer investigated theft, which occurred at the west bicycle racks at Sneed Residence Hall. A secured bicycle and lock were stolen.",Open Inactive,Bike theft
210694,Z6B Parking Lot,09/02/2021 1946 hours,Between08/28/2021 130009/02/2021 1920,"An officer documented information in reference to damage to a vehicle, which occurred in the Z6-B parking lot.",Incident Report - Case Closed,UNDEFINED
210693,Z3G Parking Lot,09/02/2021 1825 hours,Between09/02/2021 181509/02/2021 1825,"An officer investigated duty on striking an unattended vehicle, which occurred in the Z3-G parking lot. [10/26/2021] A student was identified as a suspect during follow-up investigation. This case was presented to the Lubbock County District Attorney's Office and the TTU Office of Student Conduct.",Cleared By Case Presentment,Striking of unattended vehicle
210692,Coleman Res. Hall,09/02/2021 1550 hours,Between09/01/2021 190009/02/2021 1540,"An officer investigated theft, which occurred at the northeast bicycle rack at Coleman Residence Hall. A secured bicycle and cable lock were stolen.",Open Inactive,Bike theft
210691,Coleman Res. Hall,09/02/2021 1541 hours,Between09/01/2021 170009/02/2021 1500,"An officer investigated theft, which occurred at the northeast bicycle rack at Coleman Residence Hall. A secured bicycle and cable lock were stolen.",Open Inactive,Bike theft
210690,C1 South Parking Lot,09/02/2021 1502 hours,Between08/23/2021 230009/28/2021 1300,"An officer investigated theft, which occurred in the C1 south parking lot. Gasoline was stolen form a vehicle.",Open Inactive,General theft
210689,Music,09/02/2021 1140 hours,09/02/2021 1140 hours,"An officer issued a non-student a criminal trespass warning for all Texas Tech property, which occurred at the Music building.",Incident Report - Case Closed,Criminal trespass
210688,Flint Avenue,09/02/2021 1109 hours,09/02/2021 1109 hours,"An officer investigated a traffic accident, with injuries, which occurred in the 1600 block of Flint Avenue.",Incident Report - Case Closed,Vehicle accident
210685,18th Street,09/02/2021 0123 hours,09/02/2021 0123 hours,"An officer arrested  a student for driving while intoxicated, which occurred in the 3300 block of 18th Street. The student was transported to the Lubbock County  Jail and the vehicle was left legally parked in the C14 parking lot.",Cleared By Arrest,DUI
210686,Murray Res. Hall,09/02/2021 0000 hours,09/02/2021 0000 hours,"An officer investigated unlawful disclosure or promotion of intimate visual material, which occurred at Murray Residence Hall.",Open Active,Unlawful disclosure/promotion of intimate visual material
210684,"Rec Center, Robert H. Ewalt Student",09/01/2021 1659 hours,Between08/31/2021 180008/31/2021 2100,"An officer investigated theft, which occurred at the Recreation Center. U.S currency was stolen from an unsecured wallet.",Open Active,General theft
210683,Holden Hall,09/01/2021 1531 hours,09/01/2021 1500 hours,"An officer investigated assault (threat), which occurred on a Citibus near Holden Hall. A person made threats against a student passenger. [10/12/2021] A  suspect was identified during follow-up investigation. Charges were presented to the Lubbock County District Attorney's Office.",Cleared By Case Presentment,Assault
210682,Knapp Res. Hall,09/01/2021 1411 hours,Between08/31/2021 180009/01/2021 1400,"An officer investigated criminal mischief, which occurred at the northwest bicycle racks at Knapp Residence Hall. A bicycle lock was damaged.",Open Inactive,Criminal mischief
210681,West Village A Res. Hall,09/01/2021 1321 hours,Between08/31/2021 140009/01/2021 1315,"An officer investigated theft, which occurred at the north bicycle racks at West Village A Residence Hall. A secured bicycle and lock were stolen.",Open Inactive,Bike theft
210680,Sneed Res. Hall,09/01/2021 1111 hours,Between08/31/2021 180009/01/2021 0745,"An officer investigated theft, which occurred at the northwest bicycle racks at Sneed Residence Hall. A secured bicycle was stolen.",Open Inactive,Bike theft
210679,Off Campus,09/01/2021 1000 hours,Between08/31/2021 200009/01/2021 0930,"An officer documented information in reference to stolen Texas Tech University property, which occurred at an off campus location.",Incident Report - Case Closed,General theft
210678,Flint Avenue,09/01/2021 0102 hours,09/01/2021 0102 hours,"An officer arrested  a non-student for driving while intoxicated (open container), which occurred in the 1400 block of Flint Avenue, following a traffic stop. The non-student was transported to the Lubbock County Jail and the vehicle was impounded by Lubbock Wrecker Services.",Cleared By Arrest,DUI
210677,United Supermarkets Arena,08/31/2021 1804 hours,Between08/26/2021 050008/26/2021 2000,"An officer investigated theft, which occurred at the Womble Basketball Center. An unsecured passport and visa were stolen from a backpack.",Open Inactive,General theft
210676,"Police Department, Texas Tech",08/31/2021 1607 hours,08/31/2021 1607 hours,"An officer completed an emergency detention on a student, which occurred at the Texas Tech Police Department. The student was transported to Covenant Medical Center for evaluation.",Incident Report - Case Closed,Emergency detention
210675,Z1B Parking Lot,08/31/2021 1547 hours,Between08/31/2021 100008/31/2021 1400,"An officer documented information in reference to damage to a vehicle, which occurred in the Z1-B parking lot.",Incident Report - Case Closed,UNDEFINED
210674,R25 Parking Lot,08/31/2021 1047 hours,08/31/2021 1047 hours,"An officer investigated a traffic accident, without injuries, which occurred in the R-25 parking lot.",Incident Report - Case Closed,Vehicle accident
210673,Honors Res. Hall,08/30/2021 2131 hours,Between08/30/2021 210008/30/2021 2130,"An officer investigated theft, which occurred at the southwest bicycle racks at Honors Residence Hall. A secured bicycle and lock were stolen.",Open Inactive,Bike theft
210672,Sneed Res. Hall,08/30/2021 1646 hours,Between08/27/2021 160008/30/2021 1600,"An officer investigated theft, which occurred at the west bicycle racks at Sneed Residence Hall. A secured bicycle and lock were stolen.",Open Inactive,Bike theft
210671,"Law, School of",08/30/2021 1151 hours,Between08/30/2021 093808/30/2021 0946,"An officer investigated theft, which occurred on the north side of the Law School. A  student's unsecured academic books were stolen.",Open Inactive,General theft
210670,Z4P Parking Lot,08/30/2021 1051 hours,Between08/28/2021 080008/29/2021 1330,"An officer investigated criminal mischief, which occurred in the Z4-P parking lot. A  student's vehicle was scratched by an unknown object.",Open Inactive,Criminal mischief
210669,C10 Parking Lot,08/30/2021 0032 hours,08/30/2021 0032 hours,"An officer arrested  a non-student for possession of a controlled substance (Heroin), possession of a controlled substance (Methamphetamine), possession of dangerous drugs (Xanax), unlawfully carrying a weapon (firearm) and possession of marijuana, following a check on a suspicious vehicle in the 1300 block of Indiana Avenue. The non-student was issued a criminal trespass warning for all Texas Tech property and was transported to the Lubbock County Jail. The vehicle was impounded by Lubbock Wrecker Services.",Cleared By Arrest,Possession of drug paraphernalia
210668,R25 Parking Lot,08/29/2021 1954 hours,08/29/2021 1954 hours,"An officer documented information in reference to a welfare check on a student, which occurred in the R-25 parking lot. The student was transported to Sunrise Canyon for a voluntary committal.",Incident Report - Case Closed,Welfare check
210666,R2 Parking Lot,08/29/2021 1830 hours,08/29/2021 1830 hours,"An officer issued a non-student a criminal trespass warning for all Texas Tech property, which occurred in the R2 parking lot.",Incident Report - Case Closed,Criminal trespass
210667,R21 Parking Lot,08/29/2021 1815 hours,08/29/2021 1815 hours,"An officer arrested  a student for possession of a controlled substance (THC Oil), which occurred in the R21 parking lot, following a traffic stop. Two other students in were released, pending the filing of charges, for possession  of marijuana and issued Lubbock County citations for possession of drug  paraphernalia. They signed the citations and were released. The first student was transported to the Lubbock County Jail and the vehicle was left legally parked.",Cleared By Arrest,Possession of drug paraphernalia
210665,Z6A Parking Lot,08/29/2021 1430 hours,Between08/27/2021 200008/29/2021 1340,"An officer investigated duty on striking an unattended vehicle, which occurred in the Z6-A parking lot.",Open Inactive,Striking of unattended vehicle
210664,Sneed Res. Hall,08/29/2021 1047 hours,Between08/28/2021 224008/29/2021 1047,"An officer investigated theft, which occurred at the west bicycle racks at Sneed Residence Hall. A secured bicycle was stolen.",Open Inactive,Bike theft
210663,Murray Res. Hall,08/29/2021 0329 hours,08/29/2021 0329 hours,"An officer issued a  student a Lubbock County citation for possession of drug paraphernalia,  which occurred at Murry Residence Hall. The student signed the citation  and was released.",Cleared By Arrest,Possession of drug paraphernalia
210662,Coleman Res. Hall,08/29/2021 0224 hours,08/29/2021 0224 hours,"An officer issued a  student a Lubbock County citation for possession of drug paraphernalia,  which occurred at Coleman Residence Hall. The student signed the citation and was released.",Cleared By Arrest,Possession of drug paraphernalia
210660,Flint Avenue,08/28/2021 1615 hours,08/28/2021 1615 hours,"An officer issued a  Lubbock County citation to a non-student for possession of drug paraphernalia, which occurred in the 1200 block of Flint Avenue. The non-student signed the citation and was released.",Cleared By Arrest,Possession of drug paraphernalia
210661,Hulen Res. Hall,08/28/2021 1555 hours,08/25/2021 0900 hours,"An officer documented information in reference to a verbal dispute between two students, which occurred at Hulen Residence Hall.",Incident Report - Case Closed,UNDEFINED
210659,Z1B Parking Lot,08/28/2021 1528 hours,Between08/26/2021 180008/28/2021 1407,"An officer investigated theft, which occurred in the Z1-B parking lot. A license plate was stolen.",Open Inactive,General theft
210658,Wall Res. Hall,08/28/2021 1407 hours,Between08/27/2021 213008/28/2021 1319,"An officer investigated theft, which occurred at the bicycle racks at Wall Residence Hall. A secured bicycle and lock were stolen. [9/22/2021] A suspect was captured on surveillance video and subsequently identified during follow-up investigation. A charge of theft was presented to the Lubbock County District Attorney's Office.",Cleared By Case Presentment,Bike theft
210657,Gates Res. Hall,08/28/2021 0544 hours,08/28/2021 0544 hours,"An officer placed a  student under emergency detention, which occurred at Gates Residence Hall. The student was transported to Covenant Medical Center by Emergency Medical Services for treatment.",Incident Report - Case Closed,Emergency detention
210656,Z4R Parking Lot,08/28/2021 0410 hours,08/28/2021 0410 hours,"An officer issued a  student a Lubbock County citation for possession of drug paraphernalia,  which occurred in the Z4-R parking lot. The student signed the citation and was released.",Cleared By Arrest,Possession of drug paraphernalia
210655,Gordon Res. Hall,08/27/2021 2205 hours,08/27/2021 2205 hours,"An officer investigated an assault (domestic violence), which occurred at Gordon Residence Hall. [10/13/2021] After follow-up investigation, this case was presented to the Lubbock County District Attorney's Office and the TTU Office of Student Conduct.",Cleared By Case Presentment,Assault
210654,Indiana Avenue,08/27/2021 2004 hours,08/27/2021 2004 hours,"An officer arrested  a non-student for criminal trespass, which occurred in the 1600 block of Indiana Avenue. The non-student was transported to the Lubbock County  Jail and re-issued a criminal trespass warning for all Texas Tech property.",Cleared By Arrest,Criminal trespass
210653,Texas Tech Parkway,08/27/2021 1450 hours,08/27/2021 1450 hours,"An officer investigated a traffic accident, without injuries, which occurred in the 1000 block of Texas Tech Parkway.",Incident Report - Case Closed,Vehicle accident
210652,"Police Department, Texas Tech",08/27/2021 1349 hours,08/27/2021 1349 hours,An officer documented information in reference to a damaged vehicle. A student's vehicle was damaged at an unknown location.,Incident Report - Case Closed,UNDEFINED
210648,Holden Hall,08/27/2021 1331 hours,08/27/2021 1331 hours,An officer documented information in reference to a damaged vehicle. A staff member's vehicle was damaged at an unknown location.,Incident Report - Case Closed,UNDEFINED
210651,Coleman Res. Hall,08/27/2021 1304 hours,Between08/26/2021 170008/27/2021 1114,"An officer investigated theft, which occurred at the east bicycle racks at Coleman Residence Hall. A secured bicycle was stolen.",Open Inactive,Bike theft
210650,Coleman Res. Hall,08/27/2021 1241 hours,Between08/26/2021 170008/27/2021 1040,"An officer investigated theft, which occurred at the east bicycle racks at Coleman Residence Hall. A secured bicycle and lock were stolen.",Open Inactive,Bike theft
210649,Texas Tech Parkway,08/27/2021 1239 hours,08/27/2021 1239 hours,"An officer investigated a traffic accident, without injuries, which occurred in the 500 block of Texas Tech Parkway.",Incident Report - Case Closed,Vehicle accident
210647,Administration,08/27/2021 1121 hours,Between08/02/2021 133308/24/2021 0830,"An officer investigated breach of computer security, which occurred at the Administration Building.",Open Active,UNDEFINED
210646,Z7A Parking Lot,08/27/2021 0241 hours,08/27/2021 0241 hours,"An officer arrested  a student for public intoxication, possession of a controlled substance  (THC oil) and possession of a fictitious license, which occurred in the  Z7 parking lot. The student was transported to the Lubbock County Jail.",Cleared By Arrest,Public intoxication
210644,Coleman Res. Hall,08/27/2021 0033 hours,08/27/2021 0033 hours,"An officer arrested  a student for possession of a controlled substance (THC Wax), which occurred at Coleman Residence Hall. The student was transported to the Lubbock County Jail.",Cleared By Arrest,Possession of drug paraphernalia
210645,Stangel Res. Hall,08/27/2021 0031 hours,08/27/2021 0031 hours,"An officer arrested  two students for possession of a controlled substance (acid) and possession of marijuana, which occurred at Stangel Residence Hall. Both  students were released, pending the filing of charges, for possession of a controlled substance (THC Oil). Both students were also issued Lubbock County citations for possession of drug paraphernalia and possession of tobacco products by a minor, which both students signed their citations. Both students were transported to the Lubbock County Jail.",Cleared By Arrest,Possession of drug paraphernalia
210643,Z1B Parking Lot,08/26/2021 2326 hours,08/26/2021 2326 hours,"An officer released  a student, pending the filing of charges, for possession of marijuana, which occurred in the Z1-B parking lot. The student was also issued a Lubbock County citation for possession of drug paraphernalia, which the student signed and was released.",Cleared By Arrest,Possession of drug paraphernalia
210642,Holden Hall,08/26/2021 1535 hours,Between08/24/2021 150008/25/2021 1000,"An officer investigated theft, which occurred at the southeast bicycle racks at Holden Hall. A secured bicycle and lock were stolen.",Open Active,Bike theft
210641,Murray Res. Hall,08/26/2021 1338 hours,Between08/25/2021 170008/26/2021 1100,"An officer investigated theft, which occurred at the bicycle racks at Murray Residence Hall. A secured bicycle was stolen.",Open Active,Bike theft
210640,Murdough Res. Hall,08/26/2021 1120 hours,08/26/2021 1120 hours,"An officer documented information in reference to an emergency detention on a student, which occurred at Murdough Residence Hall. The student was transported to Sunrise Canyon by Emergency Medical Services for treatment.",Incident Report - Case Closed,Emergency detention
210639,Broadway Street,08/26/2021 0046 hours,08/26/2021 0046 hours,"An officer released  a non-student, pending the filing of charges, for possession of marijuana, which occurred in the 2500 block of Broadway Street. The non-student was also issued a Lubbock County citation for possession of drug paraphernalia, which the non-student signed and was released.",Cleared By Arrest,Possession of drug paraphernalia
210638,Indiana Avenue,08/25/2021 1530 hours,08/25/2021 1530 hours,"An officer issued a  student a Lubbock County citation for possession of a fictitious driver  license, which occurred in the 300 block of Indiana Avenue. The student  signed the citation and was released.",Cleared By Arrest,Fictitious license
210637,Gates Res. Hall,08/25/2021 1348 hours,Between08/24/2021 063008/25/2021 1100,"An officer investigated theft, which occurred at the bicycle racks at Gates Residence Hall. A secured bicycle was stolen.",Open Active,Bike theft
210636,C11 Parking Lot,08/25/2021 1250 hours,Between08/22/2021 223008/25/2021 1200,"An officer investigated theft, which occurred in the C11 parking lot. A motor vehicle was stolen. [8/30/2021] During follow up investigation, it was  discovered the vehicle's owner had parked in a different parking lot. The vehicle had not been stolen.",Unfounded,General theft
210634,Z3D Parking Lot,08/25/2021 1033 hours,Between08/22/2021 150008/24/2021 1400,"An officer investigated theft, which occurred in the Z3-D parking lot. A motor vehicle was stolen. [8/31/2021] Follow up investigation revealed the vehicle had been taken by the registered owner and parent of the student. The vehicle was not stolen.",Unfounded,General theft
210632,Weymouth Res. Hall,08/24/2021 1841 hours,Between08/22/2021 160008/24/2021 1000,"An officer investigated theft, which occurred at the east bicycle racks at Weymouth  Residence Hall. A secured bicycle was stolen.",Open Inactive,Bike theft
210630,Coleman Res. Hall,08/24/2021 1424 hours,Between08/22/2021 220008/24/2021 0900,"An officer investigated theft, which occurred at the east bicycle racks at Coleman Residence Hall. A secured bicycle was stolen.",Open Inactive,Bike theft
210629,Experimental Sciences,08/24/2021 1406 hours,Between08/23/2021 090008/24/2021 0200,"An officer investigated harassment, which occurred at the Experimental Sciences building. A staff member received unwanted communications from an unknown person.",Open Active,Unwanted communication
210627,Weymouth Res. Hall,08/24/2021 0924 hours,Between08/23/2021 190008/24/2021 0750,"An officer investigated theft, which occurred at the bicycle racks at Weymouth Residence Hall. A secured bicycle and lock were stolen.",Open Inactive,Bike theft
210626,"Library, University",08/23/2021 1928 hours,08/23/2021 1928 hours,"An officer arrested  a student for public intoxication and possession of marijuana, which occurred at the Texas Tech Library. The student was also issued a criminal trespass warning for the Texas Tech Library. The student was transported to the Lubbock County Jail.",Cleared By Arrest,Public intoxication
210625,Flint Avenue,08/23/2021 1645 hours,08/23/2021 1645 hours,"An officer released  a student, pending the filing of charges, for possession of more than one valid driver license, which occurred in the 1500 block of Flint Avenue, following a traffic stop.",Cleared By Case Presentment,UNDEFINED
210624,Clement Res. Hall,08/23/2021 1410 hours,Between08/21/2021 200008/22/2021 1100,"An officer investigated theft, which occurred at the north bicycle racks at Clement  Residence Hall. A secured bicycle and lock were stolen.",Open Inactive,Bike theft
210623,Flint Avenue,08/23/2021 0740 hours,08/23/2021 0740 hours,"An officer documented information in reference to an accident between a Kubota and a  vehicle, which occurred in the 1000 block of Flint Avenue.",Incident Report - Case Closed,Vehicle accident
210622,R13 Parking Lot,08/23/2021 0307 hours,08/23/2021 0302 hours,"An officer issued criminal trespass warnings to two non-students, following suspicious activity, which occurred in the Weeks Residence Hall parking lot.",Incident Report - Case Closed,Criminal trespass
210621,Horn Res. Hall,08/22/2021 1730 hours,08/22/2021 1730 hours,"An officer documented information in reference to a welfare check on a student, which occurred at Horn Residence Hall.",Incident Report - Case Closed,Welfare check
210620,West Village B Res. Hall,08/22/2021 1341 hours,08/22/2021 1341 hours,"An officer arrested  two students for possession of a controlled substance (THC Oil) and possession of marijuana, which occurred at West Village B Residence Hall. The students were issued Lubbock County citations for possession of drug paraphernalia. The students were transported to the Lubbock County Jail.",Cleared By Arrest,Possession of drug paraphernalia
210619,"Talkington Res. Hall, J.T. & Margaret",08/22/2021 0838 hours,Between08/21/2021 133008/22/2021 0838,"An officer investigated theft, which occurred at the north bicycle racks at Talkington Residence Hall. A secured bicycle and lock were stolen.",Open Inactive,Bike theft
210618,Flint Avenue Parking Garage,08/21/2021 1810 hours,Between08/20/2021 213008/21/2021 2200,"An officer documented information in reference to damaged property, which occurred in the Flint Avenue Parking garage. A vehicle was damaged.",Incident Report - Case Closed,General Damaged Property
210617,Bledsoe Res. Hall,08/21/2021 1310 hours,Between08/18/2021 180008/21/2021 1310,"An officer investigated theft, which occurred at the south bicycle racks at Bledsoe  Residence Hall. A secured bicycle and lock were stolen.",Open Inactive,Bike theft
210616,Chitwood Res. Hall,08/21/2021 0237 hours,08/21/2021 0237 hours,"An officer arrested  a student for public intoxication, which occurred in the Chitwood Residence Hall lobby. The student was transported to the Lubbock County  Jail.",Cleared By Arrest,Public intoxication
210615,Honors Res. Hall,08/21/2021 0000 hours,08/21/2021 0000 hours,"An officer completed an emergency detention on a student, which occurred at Honors Residence Hall. The student was transported to Sunrise Canyon by Emergency Medical Services for further treatment.",Incident Report - Case Closed,Emergency detention
210613,McKenzie-Merket Alumni Center,08/20/2021 1511 hours,08/20/2021 1511 hours,"An officer arrested  a non-student for an outstanding Pardon and Parole warrant, which occurred at the McKenzie-Merket Alumni Center. The non-student was also issued a criminal trespass warning for all Texas Tech property. The non-student was transported to the Lubbock County Jail.",Cleared By Arrest,Criminal trespass
210614,Carpenter/Wells Complex,08/20/2021 1324 hours,Between08/20/2021 120008/20/2021 1230,"An officer investigated theft, which occurred at the Carpenter/Wells Complex. A cell phone was stolen during an off-campus work trip.",Open Inactive,General theft
210612,Mechanical Engineering South,08/20/2021 1217 hours,Between08/19/2021 150008/19/2021 2000,"An officer investigated theft, which occurred at the Mechanical Engineering South bicycle racks. A secured bicycle and lock were stolen.",Unfounded,Bike theft
210611,Stangel Res. Hall,08/20/2021 0444 hours,08/20/2021 0444 hours,"An officer completed an emergency detention on a student, which occurred at Stangel  Residence Hall. The student was transported to Covenant Medical Center by Emergency Medical Services for further treatment.",Incident Report - Case Closed,Emergency detention
210610,Marsha Sharp Freeway,08/20/2021 0219 hours,08/20/2021 0219 hours,"An officer arrested  a non-student for possession of marijuana, possession of drug paraphernalia and possession of a controlled substance (THC Oil), which occurred in the 2700 block of the Marsha Sharp Freeway Service Road. The non-student was transported to the Lubbock County Jail and the non-students vehicle was released to a family member.",Cleared By Arrest,Possession of drug paraphernalia
210608,Biology,08/20/2021 0109 hours,08/19/2021 2100 hours,"An officer investigated theft, which occurred at the east bicycle racks at the Biology building. A silver Mongoose bicycle and lock were stolen.",Open Inactive,Bike theft
210609,Off Campus,08/20/2021 0105 hours,08/20/2021 0105 hours,"An officer documented information in reference to locating a student in the Z4-P parking lot, who was possibly given a controlled substance, which occurred at an off campus location. The student was transported to the University Medical Center Emergency Room by Emergency Medical Services for further evaluation.",Incident Report - Case Closed,UNDEFINED
210607,Weymouth Res. Hall,08/19/2021 0016 hours,08/19/2021 0016 hours,"An officer arrested  two students for possession of marijuana and possession of drug paraphernalia, which occurred at Weymouth Residence Hall. One of the students was released, pending the filing of charges, for possession of a  substance which falsifies drug test results. Both students were transported to the Lubbock County Jail.",Cleared By Arrest,Possession of drug paraphernalia
210606,Honors Res. Hall,08/18/2021 1936 hours,Between08/15/2021 170008/18/2021 1800,"An officer investigated theft, which occurred at the southeast bicycle racks at Honors Residence Hall. A secured bicycle and lock were stolen.",Open Active,Bike theft
210604,Main Street,08/18/2021 1614 hours,Between08/17/2021 150008/18/2021 0910,"An officer investigated theft, which occurred at the south bicycle racks in the 2500 block of Main Street. A secured bicycle and cable lock were stolen.",Open Active,Bike theft
210603,19th Street,08/18/2021 1534 hours,08/18/2021 1534 hours,"An officer documented information in reference to a Lubbock County Sheriff's Department warrant application on a non-student, which occurred in the 2600 block of 19th Street. The non-student and vehicle were released to a  family member.",Incident Report - Case Closed,UNDEFINED
210602,Gordon Res. Hall,08/18/2021 1145 hours,Between08/17/2021 213008/18/2021 1100,"An officer investigated theft, which occurred at the south bicycle racks at Gordon Residence Hall. A secured bicycle was stolen.",Open Active,Bike theft
210601,Off Campus,08/18/2021 0947 hours,12/17/2020 1249 hours,"An officer documented information in reference to unwanted communications, which occurred at an off campus location.",Incident Report - Case Closed,Unwanted communication
210600,Weymouth Res. Hall,08/18/2021 0856 hours,Between08/17/2021 190008/18/2021 0800,"An officer investigated theft, which occurred at the east bicycle racks at Weymouth  Residence Hall. A secured bicycle and lock were stolen.",Open Inactive,Bike theft
210597,Z2B Parking Lot,08/16/2021 0228 hours,08/16/2021 0228 hours,"An officer arrested  a non-student for public intoxication, which occurred in the Z2-B parking lot, following a welfare check. The non-student was transported  to the Lubbock County Jail.",Cleared By Arrest,Public intoxication
210596,Drive of Champions,08/15/2021 1725 hours,08/15/2021 1725 hours,"An officer released  a non-student, pending the filing of charges, for possession of marijuana, which occurred in the 2900 block of Drive Of Champions, following a traffic stop.",Cleared By Case Presentment,Possession of drug paraphernalia
